Incident,Location,Date Reported,Incident/Case#,Date Occurred,Time Occurred,Summary,Disposition
Security Alarm,University Center 112,10/21/2021,2110210019,10/21/2021,7:47 AM,,False Alarm
Incomplete/ Accidental Wireless 911 Call,1030 North Torrey Pines Rd,10/21/2021,2110210020,10/21/2021,8:04 AM,,Logged Event
Incomplete/ Accidental Wireless 911 Call,Regents Rd,10/21/2021,2110210022,10/21/2021,8:30 AM,,Logged Event
Medical Aid,Rebecca and John Moores Cancer Center,10/21/2021,2110210024,10/21/2021,9:05 AM,Medical transport,Referred to Other Agency - San Diego Fire Department
Animal Call,Mesa Nueva,10/21/2021  ,2110210029,10/21/2021,9:04 AM,Cat under vehicle's hood,Service Provided
Security Alarm,University Center 108,10/21/2021,2110210031,10/21/2021,11:06 AM,,Disposition False Alarm
Injury,Myers Dr/ Gilman Dr,10/22/2021,2021-1077,10/22/2021,11:37 AM,Female fell off scooter,Transported to Hospital
Attempt to Contact,Gilman Dr/ Scholars Dr South,10/22/2021,2110210033,10/22/2021,11:46 AM,Reporot of lost adult male who has Alzheimer's,Service Provided
Petty Theft - Bicycle,UCSD Police Department,10/22/2021,2021-1078,10/22/2021,7:30 AM,Loss $300.00,Report Taken
Call for Help,Gilman Parking Structure,10/21/2021,2110210035,10/21/2021,12:18 PM,Female yelling for help,Gone On Arrival
Possible Fictitious / Fraudulent Driver's License,Geisel Library,10/21/2021  ,2021-1079,10/21/2021,12:23 PM,Found wallet with possible fraudulent ID,Report Taken
Crime Threat,Costa Verde Bl,10/21/2021,2110210037,10/21/2021,12:48 PM,,Referred to Other Agency - San Diego Police Department
Fraud,Villa la Jolla Dr,10/21/2021,2110210038,10/21/2021,12:58 PM,,Referred to Other Agency - San Diego Police Department
Incomplete/ Accidental Wireless 911 Call,Atkinson Hall,10/21/2021,2110210042,10/21/2021,1:26 PM,,Logged Event
Incomplete/Accidental Wireless 911 Call,Genesee Av,10/21/2021,2110210043,10/21/2021,1:32 PM,,Logged Event
Incomplete/ Accidental Wireless 911 Call,Atkinson Hall,10/21/2021  ,2110210044,10/21/2021,2:23 PM,,Logged Event
Incomplete/ Accidental Wireless 911 Call,UCSD Police Department,10/21/2021,2110210045,10/21/2021,3:09 PM,,Logged Event
Incomplete/ Accidental Wireless 911 Call,UCSD Police Department,10/21/2021,2110210046,10/21/2021,3:33 PM,,Logged Event
Welfare Check,Center Hall,10/21/2021,2110210047,10/21/2021,3:51 PM,Subject with suicidal ideations,Unable to Locate
Citizen Contact,Scholars Dr North,10/21/2021,2110210048,10/21/2021,4:05 PM,Caller requesting assistance with jammed bike lock,Information Only 
Person Down,University Center Lane,10/21/2021  ,2110210049,10/21/2021,4:05 PM,Reporting party's friend suddenly collapsed on the floor,Referred to Other Agency
Unknown Injury Collision,La Jolla Village Dr/ La Jolla Scenic Dr North,10/21/2021,2110210051,10/21/2021,4:35 PM,,Referred to Other Agency - San Diego Police Department
Incomplete/ Accidental Wireless 911 Call ,UCSD Police Department,10/21/2021,2110210052,10/21/2021,4:36 PM,,Logged Event
Injury,Thurgood Marshall Ln/ International Ln,10/21/2021,2021-1080,10/21/2021,4:42 PM,Female fell off electric scooter,Transported to Hospital
Citizen Contact,UCSD Police Department,10/21/2021,2110210056,10/21/2021,4:43 PM,"Reporting party requesting to speak with officer, regarding prior incident",Service Provided
Minor Injury Collision,Genesee Av/ John jay Hopkins,10/21/2021,2110210059,10/21/2021,6:43 PM,,Referred to Other Agency - San Diego Police Department
Fire Alarm,Scholars Dr North,10/21/2021  ,2110210065,10/21/2021,9:02 PM,,False Alarm
Embezzlement / Grand Theft,Tata Hall,10/21/2021,2021-1081,10/21/2021,9:02 PM,Staff member suspected of stealing cash and other items from offices ,Report Taken
Noise Disturbance,Mesa Nueva - Cala,10/21/2021,2110210068,10/21/2021,9:34 PM,Dog barking for multiple hours,Referred to Student Conduct
Injury,Seventh College,10/21/2021,2110210069,10/21/2021,9:38 PM,Female walked into low hanging tree,Transported to Hospital
Noise Disturbance,Scholars Dr North,10/21/2021,2110210070,10/21/2021,9:44 PM,"Loud singing, possible party",Referred to Student Conduct
Noise Disturbance,Nuevo East,10/21/2021,2110210070,10/21/2021,9:44 PM,,Loud Talking
Drunk Driving,Interstate 5/ Interstate 805,10/21/2021  ,2110210074,10/21/2021,10:43 PM,,Referred to Other Agency - California Highway Patrol
Marijuana Contact,Central Mesa Apartments ,10/21/2021,2110210075,10/21/2021,11:03 PM,Odor of marijuana,Unable to Locate
Noise Disturbance,Mesa Nueva,10/21/2021,2110210076,10/21/2021,11:28 PM,Loud group at pool,Gone On Arrival
Property Damage & Theft,UCSD Medical Facility - Hillcrest,10/21/2021,HC21-10-20-0979,10/20/2021,2:44 AM,Fence was cut and stolen,Hospital Security Report Taken
Quiet Hours Contact,Main Gymnasium,10/22/2021,2110220001,10/22/2021,12:00 AM,Basketball courts,Will Cooperate
Suspicious Circumstances,Camp Snoopy Dean's Residence,10/22/2021,2110220006,10/22/2021,2:27 AM,,Unfounded
Hazard Situation,Villa La Jolla Dr,10/22/2021,2110220007,10/22/2021,2:34 AM,Tree branch in roadway,Checks OK
Information,Nuevo East - Capa,10/22/2021,2110220009,10/22/2021,3:49 AM,Report of 3 suitcases in front of elevators,Service Provided
Fire Alarm,Warren Apts - Douglas,10/22/2021,2110220016,10/22/2021,6:35 AM,,False Alarm
Medical Aid,Scripps Memorial Hospital,10/22/2021,2110220019,10/22/2021,8:26 AM,Patient medical transport ,Disposition Referred To Other Agency - San Diego Fire Department
Found Narcotics,UCSD Police Department,10/22/2021,2021-1082,10/22/2021,8:45 AM,Small bag of white powdery substance found inside a boot turned into lost and found,Impounded Drugs
Incomplete / Accidental Landline 911 Call,UCSD Police Department,10/22/2021,2110220021,10/22/2021,8:58 AM,,Logged Event
Security Alarm,University Center 110,10/22/2021,2110220022,10/22/2021,9:25 AM,,False Alarm
Incomplete / Accidental Landline 911 Call,Price Center West,10/22/2021,2110220024,10/22/2021,10:38 AM,,Logged Event
Hit & Run Traffic Collision ,Lot 704,10/22/2021,2021-1083,10/21/2021,9:45 AM - 5:45 PM,,Report Taken
Incomplete / Accidental Landline 911 Call,UCSD Police Department,10/22/2021,2110220030,10/22/2021,1:00 PM,,Logged Event
Incomplete / Accidental Wireless 911 Call,UCSD Police Department,10/22/2021,2110220031,10/22/2021,1:00 PM,,Logged Event
